pdl,nom,roof_m2,potential,Nom delta conso
,GROUPE SCOLAIRE SAINT JUST (ECOLE ELEMENTAIRE PAUL LANGEVIN - PROVISOIRE)/ABRIS DE VELOS / POUBELLES,,Pas de potentiel,
,GROUPE SCOLAIRE SAINT JUST (ECOLE ELEMENTAIRE PAUL LANGEVIN - PROVISOIRE)/CHAUFFERIE - SAINT JUST,,Pas de potentiel,
,GROUPE SCOLAIRE SAINT JUST (ECOLE ELEMENTAIRE PAUL LANGEVIN - PROVISOIRE)/LOCAUX CGT DEPARTEMENTAL (EX MEDECINE DU TRAVAIL),,Pas de potentiel,
,GROUPE SCOLAIRE SAINT JUST (ECOLE ELEMENTAIRE PAUL LANGEVIN - PROVISOIRE)/LOGEMENTS SAINT JUST (3 LOCATAIRES),,Pas de potentiel,
19338205462877,GROUPE SCOLAIRE SAINT JUST (ECOLE ELEMENTAIRE PAUL LANGEVIN - PROVISOIRE)/MODULAIRES ECOLE ELEMENTAIRE PAUL LANGEVIN,,Pas de potentiel,
,GROUPE SCOLAIRE SAINT JUST (ECOLE ELEMENTAIRE PAUL LANGEVIN - PROVISOIRE)/RESTAURANT SCOLAIRE ECOLE ELEMENTAIRE PAUL LANGEVIN,,Pas de potentiel,
30001930862863,GROUPE SCOLAIRE VAILLANT COUTURIER,1988,,
30001930862863,GROUPE SCOLAIRE VAILLANT COUTURIER/ECOLE ELEMENTAIRE VAILLANT COUTURIER,994,Potentiel élevé,
30001930862863,GROUPE SCOLAIRE VAILLANT COUTURIER/ECOLE ELEMENTAIRE VAILLANT COUTURIER/CHAUFFERIE,,Pas de potentiel,
30001930862863,GROUPE SCOLAIRE VAILLANT COUTURIER/ECOLE ELEMENTAIRE VAILLANT COUTURIER/RESTAURANT SCOLAIRE VAILLANT COUTURIER,,Pas de potentiel,
30001930862863,GROUPE SCOLAIRE VAILLANT COUTURIER/ECOLE MATERNELLE VAILLANT COUTURIER,994,Potentiel élevé,
50040196371445,GROUPE SCOLAIRE VOLTAIRE/ECOLE ELEMENTAIRE VOLTAIRE,1215,Potentiel élevé,
,GROUPE SCOLAIRE VOLTAIRE/ABRIS DE POUBELLES,,Pas de potentiel,
,GROUPE SCOLAIRE VOLTAIRE/ECOLE ELEMENTAIRE VOLTAIRE/ABRIS DE VELOS,,Pas de potentiel,
,GROUPE SCOLAIRE VOLTAIRE/ECOLE ELEMENTAIRE VOLTAIRE/CHAUFFAGE URBAIN/SOUS STATION GROUPE SCOLAIRE,,Pas de potentiel,
50040196371445,GROUPE SCOLAIRE VOLTAIRE/ECOLE MATERNELLE VOLTAIRE,1265,Potentiel élevé,
,GROUPE SCOLAIRE VOLTAIRE/ECOLE MATERNELLE VOLTAIRE,,Pas de potentiel,
,GROUPE SCOLAIRE VOLTAIRE/ECOLE MATERNELLE VOLTAIRE/BOITE A JEU VOLTAIRE -> FERMETURE JUILLET 2024,,Pas de potentiel,
,GROUPE SCOLAIRE VOLTAIRE/ECOLE MATERNELLE VOLTAIRE/RESTAURANT SCOLAIRE VOLTAIRE,,Pas de potentiel,
19375687391925,HALTE GARDERIE L'ESSARTIE,0,Pas de potentiel,
30001930627304,L'HEURE BLEUE,1176,Neutre,
,L'HEURE BLEUE/ABRIS DE VELOS,,Pas de potentiel,
,L'HEURE BLEUE/CHAUFFERIE,,Pas de potentiel,
,L'HEURE BLEUE/SALLE DE VENTILATION,,Pas de potentiel,
NA,LOCAUX AVENUE DE LA GALOCHERE N°30 - HANGAR SERVICE VOIRIE (EUROVIA),0,Pas de potentiel,
NA,LOCAUX AVENUE DU 8 MAI 1945 N°03 (EX LA POSTE),988,Pas de potentiel,
,LOCAUX AVENUE DU 8 MAI 1945 N°03 (EX LA POSTE)/ CHAUFFERIE,,Pas de potentiel,
,"LOCAUX AVENUE DU 8 MAI 1945 N°03 (EX LA POSTE)/ RDC - BUREAUX, SANITAIRES ET STOCKAGE",,Pas de potentiel,
,LOCAUX AVENUE DU 8 MAI 1945 N°03 (EX LA POSTE)/ RDC - LOCAUX DE STOCKAGE (ANCIEN CENTRE DE TRI),,Pas de potentiel,
,LOCAUX AVENUE DU 8 MAI 1945 N°03 (EX LA POSTE)/1ER ETAGE - LOGEMENTS (x2)/APPARTEMENT DE DROITE,,Pas de potentiel,
,LOCAUX AVENUE DU 8 MAI 1945 N°03 (EX LA POSTE)/1ER ETAGE - LOGEMENTS (x2)/APPARTEMENT DE GAUCHE,,Pas de potentiel,
NA,LOCAUX AVENUE DU 8 MAI 1945 N°18 - TABAC PRESSE,0,Pas de potentiel,
NA,LOCAUX AVENUE DU 8 MAI 1945 N°24 - MOSAIKAFE,0,Pas de potentiel,
NA,LOCAUX AVENUE DU 8 MAI 1945 N°28 - JENNA BOUTIQUE (EX VISEE PHOTO),0,Pas de potentiel,
NA,LOCAUX AVENUE DU 8 MAI 1945 N°56 - LES INEFFABLES,0,Pas de potentiel,
NA,LOCAUX AVENUE DU 8 MAI 1945 N°58 - STUDIO D'ENREGISTREMENT,0,Pas de potentiel,
30001930951638,LOCAUX CROIX ROUGE (EX CREDIT AGRICOLE),0,Pas de potentiel,
19319247371708,LOCAUX ESPACES VERTS - PARC JO BLANCHON,0,Pas de potentiel,LOCAUX TECHNIQUES - LE KIOSQUE PARC JO BLANCHON : BLOCS TECHNIQUES ELECTRIQUES / LOCAL DE STOCKAGE
19369609244313,LOCAUX ESPACES VERTS - RENAUDIE/N°48 - LOCAL MATERIELS ET VEHICULES,0,Pas de potentiel,
19369898679973,LOCAUX ESPACES VERTS - RENAUDIE/N°52 - LOCAL TECHNIQUE / BUREAUX,0,Pas de potentiel,
19372069446955,LOCAUX ESPACES VERTS - RENAUDIE/N°54 - LOCAL MATERIELS ET VEHICULES,0,Pas de potentiel,
19363531073850,LOCAUX GUSP - VERLAINE,0,Pas de potentiel,
NA,LOCAUX IMPASSE LOUIS JOUVET N°62 BIS (EX LOCAL TRANSFORMATEUR) - LOCAUX MURES,0,Pas de potentiel,
19360347280875,LOCAUX PLACE DE LA REPUBLIQUE N°03 (EX TRESORERIE),544,Pas de potentiel,
,LOCAUX PLACE DE LA REPUBLIQUE N°03 (EX TRESORERIE)/BUREAU DE POSTE - PLACE DE LA REPUBLIQUE,,Pas de potentiel,
19392908788643,LOCAUX RUE ANDRE CHENIER N°03 - INSTITUT HISTOIRE SOCIALE (ARCHIVES CGT),0,Pas de potentiel,
NA,LOCAUX RUE DOCTEUR ROUX N°11/13/15/17 (EX CARROSSERIE BENOIT) - LOCAUX MURES,0,Pas de potentiel,
NA,LOCAUX RUE DOCTEUR ROUX N°22 (EX LOCAL ARCHIVES) - LOCAUX MURES,0,Pas de potentiel,
19376700416553,LOCAUX RUE DU BEAL N°39,802,Potentiel élevé,LOCAUX RUE DU BEAL N°39 : LOCAL ARCHIVES / PRESTATIONS ET MATERIELS
NA,LOCAUX RUE EDMOND ROSTAND N°19 (EX PHARMACIE LA PLAINE) - LOCAUX MURES,0,Pas de potentiel,
NA,LOCAUX RUE EDMOND ROSTAND N°19 (EX PHARMACIE LA PLAINE) - LOCAUX MURES/BOX - GARAGES (X3),0,Pas de potentiel,
19314761151401,LOCAUX RUE EDMOND ROSTAND N°21/23 (EX MOSQUEE) - STOCKAGE,0,Pas de potentiel,
NA,LOCAUX RUE EMILE ZOLA N°09,0,Pas de potentiel,
19392329917445,LOCAUX RUE LOUISE MICHEL N°20 (EX SPORTS MECANIQUES) - LOCAUX MURES,0,Pas de potentiel,pas de données delta conso
NA,LOCAUX RUE PAUL LANGEVIN N°07 - LOCAUX VIDES (EX STOCKAGE ENTREPRISE VENTURA),0,,
,LOCAUX RUE PAUL LANGEVIN N°07 - LOCAUX VIDES (EX STOCKAGE ENTREPRISE VENTURA)/LOCAUX VIDES (EN RUINE) - PARTIE ARRIERE,,Pas de potentiel,
,LOCAUX RUE PAUL LANGEVIN N°07 - LOCAUX VIDES (EX STOCKAGE ENTREPRISE VENTURA)/LOCAUX VIDES (EX STOCKAGE ENTREPRISE VENTURA) - PARTIE AVANT,,Pas de potentiel,
NA,LOCAUX RUE PAUL LANGEVIN N°13 (EX CHAMOND) - ECLAIRAGE PUBLIC Opération immobilière en cours -> sortie du parc Avril 2024,0,Pas de potentiel,
19314471697194,LOCAUX RUE RAOUL BLANCHARD N°08,770,,LOCAUX RUE RAOUL BLANCHARD N°08 : LOCAL DE STOCKAGE - MAISON DE LA POESIE / PRESTATIONS ET MATERIELS
,LOCAUX RUE RAOUL BLANCHARD N°08/LOCAL DE STOCKAGE - ECLAIRAGE PUBLIC,,Pas de potentiel,
,LOCAUX RUE RAOUL BLANCHARD N°08/LOCAL DE STOCKAGE - SKI (SERVICE DES SPORTS),,Pas de potentiel,
,LOCAUX RUE RAOUL BLANCHARD N°08/LOCAUX LOUES - ENTREPRISE GP SERVICE (LOCAL GAUCHE),,Pas de potentiel,
19319247371708,LOCAUX TECHNIQUES - LE KIOSQUE PARC JO BLANCHON,0,,
,LOCAUX TECHNIQUES - LE KIOSQUE PARC JO BLANCHON/BLOCS TECHNIQUES ELECTRIQUES,,Pas de potentiel,
,LOCAUX TECHNIQUES - LE KIOSQUE PARC JO BLANCHON/LOCAL DE STOCKAGE,,Pas de potentiel,
NA,MAISON AVENUE AMBROISE CROIZAT N°05 (EX BAR STRANO) - LOCAUX MURES,0,Pas de potentiel,
NA,MAISON AVENUE AMBROISE CROIZAT N°05 PARTIE ARRIERE - 2 LOCATAIRES,0,Pas de potentiel,
NA,MAISON AVENUE AMBROISE CROIZAT N°07 (EX DURRANI) - LOCAUX MURES,0,Pas de potentiel,
NA,MAISON AVENUE AMBROISE CROIZAT N°09 (EX BORNE),0,Pas de potentiel,
NA,MAISON AVENUE AMBROISE CROIZAT N°11 (EX THIERUS),0,Pas de potentiel,
NA,MAISON AVENUE DE LA GALOCHERE N°26/28 (1 LOCATAIRE),0,Pas de potentiel,
NA,MAISON AVENUE DE LA GALOCHERE N°30 (EUROVIA) - EPFL,0,Pas de potentiel,
NA,MAISON AVENUE DE LA GALOCHERE N°44 (EX HANGAR PIGEONS),0,Pas de potentiel,
30001931365966,MAISON COMMUNALE,1973,Potentiel élevé,
NA,MAISON COMMUNALE - ANNEXE ALBERT SAMAIN (EX OPAC 38) -> (POLE JEUNESSE / SPORT VIE LOCALE - JEUNESSE - PREVENTION),827,Potentiel élevé,
30001934118953,MAISON COMMUNALE - ANNEXE BELLEDONNE,687,Pas de potentiel,
,MAISON COMMUNALE - ANNEXE BELLEDONNE/ABRIS DE VÉLOS ,,Pas de potentiel,
19371924744183,MAISON COMMUNALE - ANNEXE CASANOVA -> (CENTRE DE PLANIFICATION / DIRECTION DE LA GESTION OPTIMISEE / HYGIENE - SANTE),714,Pas de potentiel,
,MAISON COMMUNALE - ANNEXE CASANOVA/ ABRIS DE VÉLOS/ POUBELLES,,Pas de potentiel,
30001931563522,MAISON COMMUNALE - ANNEXE CCAS (EX DRH),301,Pas de potentiel,
19387988331161,MAISON COMMUNALE - ANNEXE FRACHON (EX POLE JEUNESSE),0,Pas de potentiel,
NA,MAISON COMMUNALE - ANNEXE L'INTEMPOREL,0,Pas de potentiel,
NA,MAISON COMMUNALE - ANNEXE LA TRIADE (EX UNEDIC-MSP-CIO),631,Potentiel élevé,
NA,MAISON COMMUNALE - ANNEXE MAIRIE Démolition 2025,0,Pas de potentiel,
,MAISON COMMUNALE/CHAUFFERIE,,Pas de potentiel,
,MAISON COMMUNALE/ABRIS DE VÉLOS,,Pas de potentiel,
30001930563842,MAISON DE QUARTIER BIDAL PERI/ACCUEIL BIDAL PERI (CCAS),1607- ENSEMBLE MQ,Potentiel élevé,
,MAISON DE QUARTIER BIDAL PERI/ABRIS DE VELOS,,Pas de potentiel,
30001930563842,MAISON DE QUARTIER BIDAL PERI/BIBLIOTHEQUE BIDAL PERI,0,Potentiel élevé,
30001930563842,MAISON DE QUARTIER BIDAL PERI/CENTRE DE JOUR BIDAL PERI (CCAS),0,Potentiel élevé,
,MAISON DE QUARTIER BIDAL PERI/CENTRE DE JOUR BIDAL PERI (CCAS)/SOUS STATION CHAUFFAGE,,Pas de potentiel,
30001930563842,MAISON DE QUARTIER BIDAL PERI/CENTRE DE LOISIRS,0,Potentiel élevé,
,MAISON DE QUARTIER BIDAL PERI/CENTRE DE LOISIRS/SOUS STATION CHAUFFAGE,,Pas de potentiel,
30001930563842,MAISON DE QUARTIER BIDAL PERI/EFS (ECONOMIE FAMILIALE ET SOCIALE) BIDAL PERI,0,Potentiel élevé,
NA,MAISON DE QUARTIER BIDAL PERI/ESPACE PETITE ENFANCE BIDAL PERI,0,Potentiel élevé,
,MAISON DE QUARTIER BIDAL PERI/ESPACE PETITE ENFANCE BIDAL PERI/SOUS STATION CHAUFFAGE,,Pas de potentiel,
30001930563842,MAISON DE QUARTIER BIDAL PERI/LOCAUX BIDAL PERI (EX LES INEFFABLES),0,Pas de potentiel,
,MAISON DE QUARTIER BIDAL PERI/LOCAUX BIDAL PERI (EX LES INEFFABLES)/SOUS STATION CHAUFFAGE ,,Pas de potentiel,
30001930563842,MAISON DE QUARTIER BIDAL PERI/SALLE POLYVALENTE BIDAL PERI,0,Potentiel élevé,MAISON DE QUARTIER BIDAL PERI : ACCUEIL / BIBLIOTHEQUE / CENTRE DE JOUR / CENTRE DE LOISIRS / EFS / EPE PERI / LOCAUX (EX INEFFABLES) / SALLE POLYVALENTE
,MAISON DE QUARTIER BIDAL PERI/SALLE POLYVALENTE BIDAL PERI/CHAUFFERIE,,Pas de potentiel,
30001931216141,MAISON DE QUARTIER FERNAND TEXIER,1243,Potentiel élevé,"MAISON DE QUARTIER FERNAND TEXIER / HALTE GARDERIE FERNAND TEXIER
"
,MAISON DE QUARTIER FERNAND TEXIER/CHAUFFERIE/SOUS STATIONS,,Pas de potentiel,
,MAISON DE QUARTIER FERNAND TEXIER/HALTE GARDERIE FERNAND TEXIER,,Pas de potentiel,
NA,MAISON DE QUARTIER LOUIS ARAGON,500,Pas de potentiel,
,MAISON DE QUARTIER LOUIS ARAGON/CHAUFFERIE,,Pas de potentiel,
30001930558994,MAISON DE QUARTIER PAUL BERT,930,Potentiel élevé,GROUPE SCOLAIRE PAUL BERT - ECOLE ELEMENTAIRE PAUL BERT / MAISON DE QUARTIER PAUL BERT
,MAISON DE QUARTIER PAUL BERT/CHAUFFERIE MAISON DE QUARTIER/ECOLE ELEMENTAIRE,,Pas de potentiel,
30001930555630,MAISON DE QUARTIER ROMAIN ROLLAND,922,Pas de potentiel,MAISON DE QUARTIER ROMAIN ROLLAND / BIBLIOTHEQUE ROMAIN ROLLAND - ESPACE PETITE ENFANCE ROMAIN ROLLAND
,MAISON DE QUARTIER ROMAIN ROLLAND/ABRIS DE POUBELLES,,Pas de potentiel,
,MAISON DE QUARTIER ROMAIN ROLLAND/BIBLIOTHEQUE ROMAIN ROLLAND,,Pas de potentiel,
,MAISON DE QUARTIER ROMAIN ROLLAND/CHAUFFERIE,,Pas de potentiel,
NA,MAISON RUE BARNAVE N°05/ RDC - LOCAL STOCKAGE - ECLAIRAGE PUBLIC (CONVENTION EPFL / VILLE),0,Pas de potentiel,
NA,MAISON RUE BARNAVE N°05/1ER ETAGE - MAISON VIDE (APPARTEMENT T5),0,Pas de potentiel,
NA,MAISON RUE DOCTEUR ROUX N°19 (EX KREHER) - LOCAUX MURES,0,Pas de potentiel,
NA,MAISON RUE DOCTEUR ROUX N°21 (EX CRETTON) - LOGEMENT D'URGENCE,0,Pas de potentiel,
19394066531707,MAISON RUE PIERRE ET MARIE CURIE N°05 - ARTS DU RECIT (EX MAISON SANCHEZ),0,Pas de potentiel,
NA,MON CINE,0,Pas de potentiel,
,MON CINE/CHAUFFERIE MON CINE/ESPACE VALLES,,Pas de potentiel,
NA,OLERON (EX COLONIE DE VACANCES LE PETIT GIBOU)/BATIMENT PRINCIPAL,0,,
NA,OLERON (EX COLONIE DE VACANCES LE PETIT GIBOU)/DORTOIRS,0,,
NA,OLERON (EX COLONIE DE VACANCES LE PETIT GIBOU)/HANGAR,0,,
NA,OLERON (EX COLONIE DE VACANCES LE PETIT GIBOU)/INFIRMERIE,0,,
NA,"PARKINGS SOUTERRAINS/B05/B06/B09/B10 - RUE CHANTE GRENOUILLE - 45 PLACES + B09 - CHAMPIGNONNIERE ""CHAMPILOOP""",0,,
NA,PARKINGS SOUTERRAINS/B21 - AVENUE DU 8 MAI 1945 - 49 PLACES ET 01 BOX (PARKING MOITIE MURE),0,,
NA,PARKINGS SOUTERRAINS/B31 - AVENUE DU 8 MAI 1945 - 98 PLACES/ 3 BOX (PARKING MURE),0,,
NA,PARKINGS SOUTERRAINS/G11 - ALLEE JEAN WIENER - 4 BOX ET COURSIVES Coursives en cours de cession (AIH) - 2ème trimestre 2024,0,,
NA,PARKINGS SOUTERRAINS/P02 - RUE DE LA HALLE (HALLE BRUN) - 12 PLACES / 4 BOX (PARKING SILO),0,,
NA,PARKINGS SOUTERRAINS/P05 - RUE DE LA HALLE (HALLE BRUN) - 9 PLACES / 6 BOX (PARKING SILO) + 25 PLACES (CONVENTION UGA),0,,
30001930587799,PISCINE MUNICIPALE,0,,"CENTRE MUSICAL ERIK SATIE / PISCINE MUNICIPALE - LOCAUX TECHNIQUES / SALLE AMBROISE CROIZAT - PISCINE MUNICIPALE    pas de données delta conso
"
,PISCINE MUNICIPALE/BUVETTE/RESTAURATION,,Pas de potentiel,
,PISCINE MUNICIPALE/CAISSE/VESTIAIRES/DOUCHES,,Pas de potentiel,
,PISCINE MUNICIPALE/LOCAUX TECHNIQUES,,Pas de potentiel,
,PISCINE MUNICIPALE/LOCAUX TECHNIQUES/CHAUFFERIE - SOUS STATION CHAUFFAGE,,Pas de potentiel,
,POLE JEUNESSE - SECTEUR SPORTIF VOLTAIRE,,Pas de potentiel,
19358755382235,POLICE MUNICIPALE,0,Pas de potentiel,POLICE MUNICIPALE / LOCAL VELOS - RUE FRIEDRICH ENGELS N°05 (EX HAYAT)
,POLICE MUNICIPALE/LOCAL VELOS - RUE FRIEDRICH ENGELS N°05 (EX HAYAT),,Pas de potentiel,
NA,POLICE NATIONALE,0,Pas de potentiel,
,POLICE NATIONALE/GARAGE,,Pas de potentiel,
NA,RESERVOIRS D'EAU/LA GRANDE RISOLIERE - 2X1000M3 (LOCAUX MURES),0,,
NA,RESERVOIRS D'EAU/LE BIGOT - 100M3,0,,
NA,RESERVOIRS D'EAU/LE BIGOT-MAQUIS - 100M3,0,,
NA,RESERVOIRS D'EAU/LE MURIER - 120M3,0,,
NA,RESERVOIRS D'EAU/LES ALLOVES - 4000M3,0,,
NA,RESIDENCE AUTONOMIE PIERRE SEMARD,1346,Potentiel élevé,
,RESIDENCE AUTONOMIE PIERRE SEMARD/ABRIS DE POUBELLES,,Pas de potentiel,
,RESIDENCE AUTONOMIE PIERRE SEMARD/CHAUFFERIE,,Pas de potentiel,
,SALLE AMBROISE CROIZAT,,Pas de potentiel,
19311143228790,SALLE CROIX ROUGE - RUE DOCTEUR ROUX N°22,0,Pas de potentiel,
,SALLE CROIX ROUGE - RUE DOCTEUR ROUX N°22/CHAUFFERIE,,Pas de potentiel,
NA,SANITAIRES PUBLICS/GENS DU VOYAGE,0,,
NA,SANITAIRES PUBLICS/PARC JO BLANCHON (AUTOMATIQUE),0,,
NA,SANITAIRES PUBLICS/PARKING COLETTE BESSON (AUTOMATIQUE),0,,
NA,SANITAIRES PUBLICS/PARKING DU MURIER (AUTOMATIQUE),0,,
NA,SANITAIRES PUBLICS/PAUL ELUARD (AUTOMATIQUE),0,,
NA,SANITAIRES PUBLICS/PLACE CHAMPBERTON (AUTOMATIQUE),0,,
NA,SANITAIRES PUBLICS/PLACE DE LA REPUBLIQUE,0,,
NA,SASAD (SERVICE D'AIDE SPECIALISEE A DOMICILE)/LOCAUX,0,Pas de potentiel,
NA,SASAD (SERVICE D'AIDE SPECIALISEE A DOMICILE)/PARKING SOUTERRAIN - 14 PLACES,0,Pas de potentiel,
NA,STATIONS DE POMPAGE/CHEMIN DES ALLOVES,0,,
NA,STATIONS DE POMPAGE/CHEMIN DES COLLODES,0,,
NA,STATIONS DE POMPAGE/RUE MARIE MARGARON,0,,
19369175068003,TENNIS MUNICIPAUX/LOCAUX,0,Potentiel élevé,
NA,TERRAINS/AVENUE DE LA GALOCHERE / CHEMIN DU BOTTE / ROUTE DES MAQUIS/GRANGE EN RUINE (EX MOUGINS),0,Pas de potentiel,
NA,TERRAINS/ROUTE DES MAQUIS - COL DU GOURLU (EN DIRECTION DU BIGOT)/BATTERIES HAUTES (ANCIENNES FORTIFICATIONS) (X4),0,Pas de potentiel,
NA,TERRAINS/ROUTE DES MAQUIS - PROLONGEMENT (EX RESIDENCE LES ANGUISSES)/MAISON ANCIENNE EN RUINE (VIDE),0,Pas de potentiel,
NA,TERRAINS/ROUTE DES MAQUIS N°29 - SAUVEGARDE DES ESPACES NATURELS (4430M²)/MODULAIRES (VIDES) (X2),0,Pas de potentiel,
NA,TERRAINS/ROUTE DES MAQUIS N°29 - SAUVEGARDE DES ESPACES NATURELS (4430M²)/ROULOTTE (VIDE),0,Pas de potentiel,
NA,VILLA (EX POINARD) AVENUE MARCEL CACHIN N°03 - LOCAUX MURES,0,Pas de potentiel,
