pdl,nom,roof_m2,potential,Nom delta conso
19374963802967,CENTRE DE NATURE GUY MOQUET/BATIMENT PRINCIPAL/RESTAURANT/SALLES POLYVALENTES,342,Potentiel élevé ,
19374963802967,CENTRE DE NATURE GUY MOQUET/BATIMENT PRINCIPAL/SOUS STATION CHAUFFAGE,,Pas de potentiel ,
19374963802967,CENTRE DE NATURE GUY MOQUET/DORTOIRS,156,Pas de potentiel ,
,CENTRE DE NATURE GUY MOQUET/DORTOIRS/CHAUFFERIE,,Pas de potentiel ,
NA,CENTRE MUSICAL ERIK SATIE,959,Pas de potentiel,
NA,CHALET COLLET D'ALLEVARD,0,,
19396960894861,CIMETIERE DES ALLOVES/LOCAUX GARDIEN,0,Neutre,
19396960894861,CIMETIERE DES ALLOVES/SANITAIRES DU PERSONNEL,0,Neutre,
19368306761287,CIMETIERE SAINT PIERRE/SANITAIRES,0,Neutre,
NA,CIMETIERE SAINT PIERRE/SUPPRESSEUR,0,Neutre,
NA,COUVENT DES MINIMES,0,Pas de potentiel,
30001930238404,CRECHE JEANNE LABOURBE,0,Pas de potentiel,
30001930646420,CUISINE CENTRALE/BATIMENT PRINCIPAL,700,Potentiel élevé,
,CUISINE CENTRALE/BATIMENT PRINCIPAL/CHAUFFERIE,,Pas de potentiel,
30001930646420,CUISINE CENTRALE/CONTENEURS DE STOCKAGE (x3),0,Pas de potentiel,
NA,EGLISE SAINT MARTIN,0,Pas de potentiel,
30001930165380,ENSEMBLE SPORTIF AUGUSTE DELAUNE/GYMNASE AUGUSTE DELAUNE,1166,Potentiel élevé,
,ENSEMBLE SPORTIF AUGUSTE DELAUNE/GYMNASE AUGUSTE DELAUNE/CHAUFFERIE,,Pas de potentiel,
30001930165380,ENSEMBLE SPORTIF AUGUSTE DELAUNE/STADE AUGUSTE DELAUNE/MODULAIRE (BUVETTE/VESTIAIRES),325,Pas de potentiel,
,ENSEMBLE SPORTIF AUGUSTE DELAUNE/STADE AUGUSTE DELAUNE/TRIBUNE EXTERIEURE,,Neutre,
